;0;1;Method
0;Img\pineapple.jpg;0.9856005600869122;Correlation
1;Img\einstein.jpg;0.0024663768916125053;Correlation
2;Img\colorida0.jpg;-0.04022128548982981;Correlation
3;Img\colorida.jpg;-0.04022128548982981;Correlation
4;Img\apple_green.jpg;0.99374455258592;Correlation
5;Img\apple3.jpg;0.9865322210986823;Correlation
6;Img\apple2.jpg;0.9977949986529369;Correlation
7;Img\apple1.jpg;1.0;Correlation
8;Img\Cinza.jpg;-0.03594841932083633;Correlation
9;Img\Binaria.jpg;0.9399692187994699;Correlation
0;Img\Binaria.jpg;11130.477169003187;Chi-Squared
1;Img\Cinza.jpg;2286.426832628531;Chi-Squared
2;Img\apple1.jpg;0.0;Chi-Squared
3;Img\apple2.jpg;0.46854840131568914;Chi-Squared
4;Img\apple3.jpg;8.074007497620023;Chi-Squared
5;Img\apple_green.jpg;4.982400138697053;Chi-Squared
6;Img\colorida.jpg;1223.5607416044397;Chi-Squared
7;Img\colorida0.jpg;1223.5607416044397;Chi-Squared
8;Img\einstein.jpg;99359.26689037033;Chi-Squared
9;Img\pineapple.jpg;2.1143753210409972;Chi-Squared
0;Img\pineapple.jpg;1.1465068510374294;Intersection
1;Img\einstein.jpg;0.04913638391644781;Intersection
2;Img\colorida0.jpg;0.06846095510536543;Intersection
3;Img\colorida.jpg;0.06846095510536543;Intersection
4;Img\apple_green.jpg;1.0351118630470637;Intersection
5;Img\apple3.jpg;1.1398096398916095;Intersection
6;Img\apple2.jpg;1.2569620175636373;Intersection
7;Img\apple1.jpg;1.3534432270998877;Intersection
8;Img\Cinza.jpg;0.017037612843523675;Intersection
9;Img\Binaria.jpg;0.9548498154535991;Intersection
0;Img\Binaria.jpg;0.5414776988745068;Bhattacharyya
1;Img\Cinza.jpg;0.9411999019062316;Bhattacharyya
2;Img\apple1.jpg;0.0;Bhattacharyya
3;Img\apple2.jpg;0.1610709497331469;Bhattacharyya
4;Img\apple3.jpg;0.34973544724834466;Bhattacharyya
5;Img\apple_green.jpg;0.38059305604662713;Bhattacharyya
6;Img\colorida.jpg;0.8927848297517853;Bhattacharyya
7;Img\colorida0.jpg;0.8927848297517853;Bhattacharyya
8;Img\einstein.jpg;0.9112322888562902;Bhattacharyya
9;Img\pineapple.jpg;0.2995433724518647;Bhattacharyya
